animeTitle	Irotoridori no Melody
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.24
animeUsers	422
animeRank	
animePopularity	11948
animeDescription	Official music video for the song Irotoridori no Melody by the fictional band Irodorimidori. It is the 22nd song in the franchise and focuses on Nagi Kobotoke. 
animeRelated	['Sousha wa Tada Senaka to Teikin de Kataru Nomi', 'Outsider:Requiem']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
