animeTitle	Mahou Shoujo Taisen
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.76
animeUsers	4839
animeRank	
animePopularity	4413
animeDescription	"""Mahou Shoujo Taisen"" is a project created from a variety show for the Otaku ""2.5 Chigen TV"" (2.5 Dimension TV). The characters are the mahou shoujo that represent each local town in Japan. The characters that won from the second illustration competitions that were held on pixiv will appear in the anime.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Kobari, Rin', 'Ariake, Renka', 'Sengen, Matsuri', 'Konoe, Mebuki', 'Kamiki, Rinka', 'Aoba, Naruko', 'Inuwashi, Yuri']
animeVoices	['Murakawa, Rie', 'Terasaki, Yuka', 'Nanjou, Yoshino', 'Koiwai, Kotori', 'Komatsu, Mikako', 'Arakawa, Miho', 'Shintani, Ryouko']
animeStaff	[['Koizumi, Kisuke', 'Sound Director'], ['Hyoudou, Kazuho', 'Script'], ['kz', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition'], ['Yano, Anna', 'Theme Song Performance']]
