animeTitle	Bible Black Gaiden
animeType	OVA
animeNumEpisode	2
releaseDate	2002-05-25 00:00:00
endDate	2002-08-25 00:00:00
animeNumMembers	
animeScore	6.67
animeUsers	12675
animeRank	
animePopularity	3642
animeDescription	"After their rejected request to create a formal student magic club, Hiroko Takashiro, Saki Shidou, and Rie Morita are forced to continue practicing witchcraft in their free time only. One day, Rie comes across a dusty, hand-written book. Found on a sales pile in an antique shop, the manuscript seems to be nothing more than a foreign curiosity.

Upon translating the book, the girls discover simple spells designed to bend an unsuspecting victim to the user's will and impose one's sexual desires on them. Realizing they have come into possession of a mighty weapon, the group begins fulfilling different requests of other students—be it for love, vengeance, or sexual desire. As the situation spirals out of control, the magic club gradually transforms into a cult of blood, lust, and human sacrifice.

[Written by MAL Rewrite]"
animeRelated	['Bible Black']
animeCharacters	['Kitami, Reika', 'Takashiro, Hiroko', 'Kozono, Nami', 'Mochida, Junko', 'Morita, Rie', 'Hiraya, Seiji', 'Shidou, Saki']
animeVoices	['Shirosaki, Michiru', 'Futami, Nagisa']
animeStaff	[['Yamaguchi, Wataru', 'Producer'], ['Sei Shoujo', 'Original Creator, Original Character Design'], ['Yoshiten', 'Character Design, Animation Director'], ['Active', 'Original Creator']]
