animeTitle	b'Kotatsu Neko'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	631
animeRank	
animePopularity	
animeDescription	"b'A lazy cat sits comfortably under the ""kotatsu"", a low table with a heater used in Japan to keep warm during winter. What will he do when he realizes the remote control of his TV is out of reach? '"
animeRelated	[]
animeCharacters	[b'Kotatsu Neko']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAoki, Jun\n\nDirector\n\n']
