animeTitle	Makyuu Senjou
animeType	OVA
animeNumEpisode	2
releaseDate	1991-03-22 00:00:00
endDate	1991-05-25 00:00:00
animeNumMembers	
animeScore	5.07
animeUsers	269
animeRank	
animePopularity	11408
animeDescription	"When computer genius Joe Takami hacks into a top secret computer system in search of information on a mysterious girl, he gets much more than he bargained for. Now, after uncovering evidence of a secret government experiment, he's running for his life, and everyone, including his best friend and his personal computer, has turned against him. As a ruthless team of high-tech ninja follows his trail, Joe must depend upon the unpredictable powers that lie within him in order to survive. Can he find a way to evade the government assassins before they terminate the human genetic experiment named Joe Takami. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Rockford, David']
animeVoices	['Wakamoto, Norio']
animeStaff	[['Grant, Tiffany', 'Script'], ['MacAvery, Tristan', 'ADR Director'], ['Oonuki, Kenichi', 'Character Design']]
