animeTitle	Anyamal Tantei Kiruminzoo
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	1372
animeRank	
animePopularity	6108
animeDescription	" While searching for a run-away cat the twins Riko and Rimu Mikogami find a strange device that transforms them into ""Kirumin."" It also enables them to turn into real animals. Their older sister Nagisa soon joins them. Now the three have cute, funny and sometimes dangerous adventures."
animeRelated	[]
animeCharacters	['Hatori, Kanon', 'Mikogami, Riko', 'Mikogami, Rimu', 'Mikogami, Nagisa', 'Hatori, Misa', 'Ryuudou, Pulse', 'Mikogami, Haruka', 'Cobblepot, Jun', 'Miyabe, Kasumi', 'Kijima, Tamao']
animeVoices	['Tange, Sakura', 'Yuuki, Aoi', 'Satou, Satomi', 'Anzai, Chika', 'Watanabe, Misa', 'Nojima, Kenji', 'Neya, Michiko', 'Miyamoto, Kanako', 'Ikebe, Kumiko']
animeStaff	[['Masui, Souichi', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Masaki, Shinichi', 'Episode Director'], ['Hara, Hiroshi', 'Episode Director, Key Animation']]
