animeTitle	b'Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	557
animeRank	
animePopularity	
animeDescription	"b'Shin-chan is all set to challenge Kung Fu in the Chinatown of Kasukabe city, known as ""Aiya Town."" Shinnosuke and Kasukabe Defence Group are going to put up a totally no-stunt Kung Fu challenge on the stage.\n\n(Source: Wikipedia)'"
animeRelated	[b'Crayon Shin-chan', b'Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri', b'Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi']
animeCharacters	[b'Nohara, Shinnosuke', b'Nohara, Hiroshi', b'Nohara, Misae', b'Nohara, Himawari', b'Sato, Masao', b'Shiro', b'Boo-chan', b'Kazama, Tooru', b'Matsuzaka, Ume', b'Sakurada, Nene']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKuno, Yoko\n\nStoryboard, Key Animation\n\n', b'\nMomoiro Clover Z\n\nTheme Song Performance\n\n', b'\nUsui, Yoshito\n\nOriginal Creator\n\n', b'\nYoshibe, Naoki\n\nKey Animation\n\n']
