animeTitle	b'Shippuu! Iron Leaguer'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	277
animeRank	
animePopularity	
animeDescription	"b'The Iron League: a place where teams of robots, under individual ""owners"", play various sports and duke it out in tournaments. Mach Windy is a member of Dark Prince, a team that doesn\'t play fair and fights dirty to win. Unsatisfied with the actions of his teammates, he defects against the will of Dark Prince\'s nefarious owner and joins Silver Prince: the weakest team in the league. Alongside faithful companions such as Magnum Ace and Bull Armor, Mach Windy and Silver Prince will battle against Dark Prince in games of soccer and baseball, and aim for the top!\n\n(Source: Animeplanet)'"
animeRelated	[b'Shippuu! Iron Leaguer: Silver no Hata no Moto ni']
animeCharacters	[b'Ace, Magnum', b'Ginjou, Ruri', b'Windy, Mach', b'Topjoy', b'Arm, Gold', b'Kiai, Ryuuken', b'GZ', b'Kris', b'Armor, Bull', b'Kiwami, Juurouta']
animeVoices	[b'\nMatsumoto, Yasunori\nJapanese\n', b'\nYokoyama, Chisa\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nHori, Yukitoshi\nJapanese\n', b'\nHorimoto, Hitoshi\nJapanese\n', b'\nChafurin\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMinami, Masahiko\n\nProducer\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nYamamoto, Yasuichiro\n\nEpisode Director, Animation Director\n\n', b'\nOhata, Kiyotaka\n\nEpisode Director, Storyboard\n\n']
