animeTitle	Kagaku Bouken-tai Tansar 5
animeType	TV
animeNumEpisode	34
releaseDate	1979-07-27 00:00:00
endDate	1980-03-28 00:00:00
animeNumMembers	368
animeScore	
animeUsers	
animeRank	16488
animePopularity	13816
animeDescription	In 1999, a special mystery/paranormal investigative unit consisting of five youths is formed. The series uses a mix of real tokusatsu footage (vehicle scenes) and animation (character drama).
animeRelated	[]
animeCharacters	['Hajime', 'Yuito', 'Ryuu', 'Rui', 'Daichi', 'Narrator', 'Commander']
animeVoices	['Komiyama, Kiyoshi', 'Mitsuya, Yuuji', 'Mizushima, Yuu', 'Yokozawa, Keiko', 'Nojima, Akio', 'Kobayashi, Kiyoshi', 'Hirose, Masashi']
animeStaff	[['Yotsuji, Takao', 'Director'], ['Suzuki, Mitsuru', 'Character Design']]
