animeTitle	b'Ruri-iro Princess'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""High school girl Ruri is dragged into a battle over the fate of the Pulsean Moon when the princess Leila sends assassins to dispense with her. Ruri's lover, Toru, is wounded protecting her, and Ruri must leave the real world behind and journey to the Pulsean Moon to save him. Based on the manga in Omajinai Comic by Mito Orihara, who also wrote the theme song. \n\n(Source: AnimeVice)"""
animeRelated	[b'Ruriiro Princess']
animeCharacters	[b'Reira']
animeVoices	[b'\nYasunaga, Satoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMori, Takeshi\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nHashi, Katsuhiro\n\nArt Director\n\n', b'\nOrihara, Mito\n\nOriginal Creator\n\n']
