animeTitle	Freezing Specials
animeType	Special
animeNumEpisode	6
releaseDate	2011-03-30 00:00:00
endDate	2011-08-24 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	22498
animeRank	
animePopularity	2727
animeDescription	These episodes focus on ecchi and comedy and don't have anything to do with the main story of Freezing. 
animeRelated	['Freezing']
animeCharacters	['el Bridget, Satellizer', 'Linchen, Rana', 'Aoi, Kazuya', 'Roland, Ganessa', 'Fairchild, Chiffon', 'Mably, Elizabeth', 'McMillian, Arnett', 'Bernstein, Ingrid', 'Simmons, Attia', 'Blunt, Cleo']
animeVoices	['Noto, Mamiko', 'Hanazawa, Kana', 'Ichiki, Mitsuhiro', 'Kitamura, Eri', 'Inoue, Marina', 'Kaida, Yuuko', 'Asakawa, Yuu', 'Koshimizu, Ami', 'Ueda, Kana', 'Kitta, Izumi']
animeStaff	[['Bickham, Clint', 'Script'], ['McDonald, Joel', 'ADR Director'], ['Fukunaga, Gen', 'Executive Producer'], ['Kim, Kwang Hyun', 'Original Character Design']]
