animeTitle	Koisuru Shirokuma
animeType	Movie
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	735
animeRank	
animePopularity	6403
animeDescription	"A polar bear falls in love with an earless seal, and he wants nothing else except to protect him, even though the seal constantly thinks the bear will eat him.

(Source: ANN)"
animeRelated	['Koisuru Shirokuma', 'Koisuru Shirokuma Tokubetsu-ban']
animeCharacters	['Azarashi-kun', 'Shirokuma-san']
animeVoices	['Hanae, Natsuki', 'Umehara, Yuuichirou']
animeStaff	[['Koromo', 'Original Creator']]
