animeTitle	Miracle Psychicer Seizan
animeType	OVA
animeNumEpisode	5
releaseDate	1991-11-20 00:00:00
endDate	1993-06-17 00:00:00
animeNumMembers	283
animeScore	
animeUsers	
animeRank	12079
animePopularity	14797
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Mayumi', 'Seizan, Takeru']
animeVoices	['Shinohara, Emi', 'Yasuhara, Yoshito']
animeStaff	[['Annou, Masami', 'Director'], ['Abe, Noriyuki', 'Episode Director'], ['Ninomiya, Tsuneo', 'Animation Director']]
