animeTitle	b'Maria\xe2\x80\xa0Holic Alive'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	25719
animeRank	
animePopularity	
animeDescription	"b""When Kanako Miyamae transferred to a new all-girls school, she hoped to find true love. What she found instead was the beautiful Mariya Shidou, a charming classmate Kanako met on her first day. But Mariya has one flaw: she is actually a cross-dressing boy! After discovering Mariya's secret and becoming stuck with him as her roommate, Kanako's life has become a series of misfortunes. All she wants is to find the girl of her dreams, which is hard to do with the meddling of the sadistic Mariya and his sharp-tongued maid Matsurika Shinouji.\n\nMaria\xe2\x80\xa0Holic Alive continues the story of Kanako as she deals with being Mariya's roommate and aims to find true love, while enduring high school itself.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Maria\xe2\x80\xa0Holic', b'Maria\xe2\x80\xa0Holic: Run Run Riru Ran Ran Rara']
animeCharacters	[b'Shidou, Mariya', b'Shinouji, Matsurika', b'Miyamae, Kanako', b'Dorm Mistress', b'Kanae, Touichirou', b'Shidou, Shizu', b'Yonakuni-san', b'Ishima, Ryuuken', b'Inamori, Yuzuru', b'Kiri, Nanami']
animeVoices	[b'\nKobayashi, Yuu\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n', b'\nGotou, Saori\nJapanese\n', b'\nKanda, Akemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKubota, Mitsutoshi\n\nProducer\n\n', b'\nOoshima, Miku\n\nAssistant Producer, Script\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nTokoro, Tomokazu\n\nDirector\n\n']
