animeTitle	Little Witch Academia
animeType	Movie
animeNumEpisode	1
releaseDate	2013-03-02 00:00:00
endDate	
animeNumMembers	284021
animeScore	7.82
animeUsers	160097
animeRank	822
animePopularity	608
animeDescription	"For young witches everywhere, the world-renowned witch Shiny Chariot reigns as the most revered and celebrated role model. But as the girls age, so do their opinions of her—now just the mention of Chariot would get a witch labeled a child. However, undeterred in her blind admiration for Chariot, ordinary girl Atsuko Kagari enrolls into Luna Nova Magical Academy, hoping to someday become just as mesmerizing as her idol.

However, the witch academy isn't all the fun and games Atsuko thought it would be: boring lectures, strict teachers, and students who mock Chariot plague the campus. Coupled with her own ineptness in magic, she's seen as little more than a rebel student. But when a chance finally presents itself to prove herself to her peers and teachers, she takes it, and now it's up to her to stop a rampaging dragon before it flattens the entire academy. 

[Written by MAL Rewrite]"
animeRelated	['Little Witch Academia', 'Arve Rezzle: Kikaijikake no Yousei-tachi', 'Ryo', 'Death Billiards', 'Little Witch Academia: Mahoujikake no Parade', 'Uchuu Patrol Luluco', 'Little Witch Academia (TV)']
animeCharacters	['Kagari, Atsuko', 'Manbavaran, Sucy', 'Cavendish, Diana', 'Jansson, Lotte', 'Callistis, Ursula', 'du Nord, Chariot', 'England, Hannah', 'Parker, Barbara', 'Avery', 'Minotaur']
animeVoices	['Han, Megumi', 'Murase, Michiyo', 'Hikasa, Youko', 'Orikasa, Fumiko', 'Hidaka, Noriko', 'Nakao, Eri', 'Akasaki, Chinatsu', 'Nomura, Kenji']
animeStaff	[['Yoshinari, You', 'Director, Key Animation, Character Design, Animation Director, Original Creator'], ['Imaishi, Hiroyuki', 'Script'], ['Ootsuka, Masahiko', 'Script'], ['Tatemoto, Itsuki', 'Script']]
