animeTitle	Seijuuden: Twin Dolls
animeType	OVA
animeNumEpisode	2
releaseDate	1994-07-22 00:00:00
endDate	1994-08-26 00:00:00
animeNumMembers	
animeScore	5.53
animeUsers	595
animeRank	
animePopularity	9598
animeDescription	"Mai and Ai Amatsu are beautiful and powerful twin sisters descended from a Tennyo angel. However, part of this legacy includes fighting off sex-starved demons and protecting the child-like boy Onimaro from evil forces. Can Mai and Ai carry out their mission in life and retain their chastity at the same time? 

(Source: Animetric.com) "
animeRelated	['Injuu Seisen: Twin Angels']
animeCharacters	['Amatsu, Ai', 'Amatsu, Mai', 'Onimaro', 'Dekunobou']
animeVoices	['Kumagaya, Nina', 'Asami, Junko', 'Yamaguchi, Kappei', 'Nishimura, Tomohiro']
animeStaff	[['Rinshin', 'Key Animation, Animation Director, Character Design'], ['Ooshiro, Tsutomu', 'Key Animation']]
