animeTitle	b'Tanoshii Willow Town'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	281
animeRank	
animePopularity	
animeDescription	"b""Kenneth Grahame's enchanting novel The Wind in the Willows (1908) is the basis for a series about the happy little world of the animals who live along the riverbank. Toad's boastful nature and the evil ferrets and weasels who live in the Wild Wood threaten everyone's quiet lives until the brave Ratty, Mole, Badger, and Toad band together to ensure that they can all live happily ever after.\n\n(Source: The Anime Encyclopedia)"""
animeRelated	[]
animeCharacters	[b'Ratty', b'Annie', b'Gekou', b'Taddo', b'Otta', b'Bajji', b'Fork', b'Nain', b'Narrator']
animeVoices	[b'\nTakano, Urara\nJapanese\n', b'\nKouda, Mariko\nJapanese\n', b'\nKiyokawa, Motomu\nJapanese\n', b'\nTatsuta, Naoki\nJapanese\n', b'\nShioya, Kouzou\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nFutamata, Issei\nJapanese\n', b'\nSuzuki, Katsumi\nJapanese\n', b'\nGinga, Banjou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKobayashi, Noriko\n\nProducer\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nSokuza, Makoto\n\nEpisode Director, Storyboard\n\n', b'\nKagawa, Yutaka\n\nEpisode Director, Storyboard\n\n']
