animeTitle	Gegege no Kitarou (1985)
animeType	TV
animeNumEpisode	108
releaseDate	1985-10-12 00:00:00
endDate	1988-02-06 00:00:00
animeNumMembers	2002
animeScore	6.57
animeUsers	411
animeRank	5765
animePopularity	9441
animeDescription	"As civilization advances, people are beginning to lose the consideration and kindliness for Nature. This has incurred the wrath of the ghosts who are becoming increasingly unhappy with the selfishness of the human kind. However, there is a conflict of interests within the ghosts in which one extreme opposes the humans completely while another extreme desires the co-existence of humans and ghosts. Kitaro and his family belongs to the latter category and yearns to seek mutual understanding between the humans and ghosts. Kitaro's fight for love and hope continues.

(Source: ANN)"
animeRelated	['GeGeGe no Kitarou', 'Gegege no Kitarou (2007)', 'Gegege no Kitarou (1968)', 'Gegege no Kitarou (1971)', 'Gegege no Kitarou (1996)', 'Hakaba Kitarou', 'Gegege no Kitarou (1985 Movie)', 'Gegege no Kitarou: Youkai Daisensou', 'Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!', 'Gegege no Kitarou: Gekitotsu!! Ijigen Youkai no Daihanran', 'Gegege no Kitarou (2018)']
animeCharacters	['Kitarou', 'Medama Oyaji', 'Neko Musume', 'Nezumi Otoko', 'Backbeard', 'Ittan Momen', 'Kaminari', 'Makuragaeshi', 'Wanyuudou', 'Karura']
animeVoices	['Toda, Keiko', 'Tanonaka, Isamu', 'Mita, Yuuko', 'Tomiyama, Kei', 'Shibata, Hidekatsu', 'Gouri, Daisuke', 'Yara, Yuusaku', 'Ginga, Banjou', 'Utsumi, Kenji']
animeStaff	[['Kasai, Osamu', 'Director, Episode Director'], ['Okazaki, Minoru', 'Episode Director'], ['Shirato, Takeshi', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script']]
