animeTitle	Tsui no Sora
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	2.26
animeUsers	2785
animeRank	
animePopularity	7161
animeDescription	"After the sudden death of a student, mysterious things start to happen and a school seemingly falls into madness.

Based on the game by KeroQ."
animeRelated	[]
animeCharacters	['Mamiya, Takuji', 'Minakami, Yukito', 'Otonashi, Ayana', 'Takashima, Zakuro']
animeVoices	[]
animeStaff	[['SCA-DI', 'Original Creator']]
