animeTitle	b'Arad: Suming Zhi Men'
animeType	b'ONA'
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	145
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Arad Senki: Slap Up Party', b'Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun']
animeCharacters	[b'Yi, Lucas', b'Daba', b'Meimei', b'Wang, Tiancai', b'Mo, Xiaofang']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOoba, Hideaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nHosoda, Masahiro\n\nDirector\n\n', b'\nImaizumi, Yuuichi\n\nSound Director\n\n', b'\nNagahama, Norihiko\n\nEpisode Director, Storyboard\n\n']
