animeTitle	Nani mo Shite Agerarenai
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	462
animeRank	
animePopularity	11145
animeDescription	Music video included with the fourth single of the digital idol group 22/7 (Nanabun no Nijuuni).
animeRelated	['Boku wa Sonzai Shiteinakatta', 'Shampoo no Nioi ga Shita', 'Rikaisha']
animeCharacters	['Takigawa, Miu', 'Toda, Jun', 'Fujima, Sakura', 'Maruyama, Akane', 'Tachikawa, Ayaka', 'Satou, Reika', 'Saitou, Nicole', 'Kouno, Miyako', 'Kamiki, Mikami', 'Toujou, Yuuki']
animeVoices	[]
animeStaff	[['22/7', 'Theme Song Performance'], ['Watanabe, Akio', 'Original Character Design'], ['Kantoku', 'Original Character Design'], ['Horiguchi, Yukiko', 'Animation Director, Original Character Design']]
