animeTitle	Toumei Ningen R
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	1833
animeRank	
animePopularity	7491
animeDescription	"The invisible stud returns to cause more mischief and spy on beautiful girls! Is Mie behind this again? His boss hears the invisible stud is back and confronts Mie, but he denies that he is behind it. Having put the invisible potion in a secure place and confirming that it was still there, they’re left to wonder who the new invisible stud might be. 

(Source: HentaiTake) "
animeRelated	['Toumei Ningen (OVA)']
animeCharacters	['Mie', 'Suzu', 'Fujisawa']
animeVoices	[]
animeStaff	[['Suginami, Daifuku', 'Key Animation']]
