animeTitle	Lovely ♡
animeType	OVA
animeNumEpisode	2
releaseDate	2019-11-08 00:00:00
endDate	2020-02-07 00:00:00
animeNumMembers	7393
animeScore	7.05
animeUsers	2660
animeRank	
animePopularity	6042
animeDescription	"Andou Aina is an active girl who likes teasing her home room teacher, Tanaka. He is asked by Aina if he is a virgin one day, and she decides to take his virginity. And like this, he is grabbed by a girl who is much younger than he is…
"
animeRelated	['']
animeCharacters	['Endou, Aina']
animeVoices	[]
animeStaff	[]
