animeTitle	b'Hanaukyou Maid-tai OVA'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	4344
animeRank	
animePopularity	
animeDescription	b'In this three-episode OVA, Taro learns more about Cynthia`s life as herself and her alter-ego Grace. He also undergoes training with his bodyguard Konoe. And finally, Ikuyo dupes Taro in spending a whole day disguised as a maid.  \n\n(Source: ANN)'
animeRelated	[b'Hanaukyou Maid-tai']
animeCharacters	[b'Mariel', b'Hanaukyou, Tarou', b'Ichigo, Sango and Ringo', b'Tsurugi, Konoe', b'Yashima, Sanae', b'Landlavizar, Cynthia', b'Suzuki, Ikuyo', b'Jihiyou, Ryuuka', b'Grace']
animeVoices	[b'\nTanaka, Rie\nJapanese\n', b'\nKaida, Yuki\nJapanese\n', b'\nHiramatsu, Akiko\nJapanese\n', b'\nKaneda, Tomoko\nJapanese\n', b'\nArishima, Moyu\nJapanese\n', b'\nTakahashi, Rieko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIde, Yasunori\n\nDirector, Series Composition\n\n', b'\nMatsuoka, Hiroki\n\nSound Director\n\n', b'\nTanaka, Rie\n\nTheme Song Performance\n\n', b'\nHiramatsu, Akiko\n\nTheme Song Performance\n\n']
