animeTitle	Wo Wei Ge Kuang
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14138
animeDescription	"Four young teenage boys share a common vision and passion for music. They come together overlapping their own personalities and ideas. In the process, they encounter a lot of difficulties as any youth might have. The story is unfolded as the band grows up. Academic, personal conflicts, family, friendship and emotional problems are all intertwined. With the help of teachers, students, and friends they try to achieve their dreams.

(Source: Wikipedia)"
animeRelated	['Wo Wei Ge Kuang: Xuanlu Chongqi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
