animeTitle	Toaru Hikuushi e no Tsuioku
animeType	Movie
animeNumEpisode	1
releaseDate	2011-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.64
animeUsers	26129
animeRank	
animePopularity	2182
animeDescription	"The war between the Levamme Empire and the Amatsukami Imperium has been raging for years. In the midst of this struggle, the prince of the Levamme Empire declares his love for Juana del Moral and vows to end the war in one year, as part of his marriage proposal. When the Amatsukami catch wind of this, they assault the del Moral residence, targeting Juana's life. As a last ditch effort to bring the prince his bride, the San Maltilia Airforce hires a mercenary of mixed blood—a bestado—to fly Juana to the Levamme capital in secret. The pilot, Charles, accepts the mission...but traversing an ocean alone, into enemy territory, proves a much more dangerous ordeal than anyone could have anticipated.

(Source: NIS America)"
animeRelated	['Toaru Hikuushi e no Tsuioku', 'Toaru Hikuushi e no Koiuta']
animeCharacters	['Karino, Charles', 'del Moral, Juana', 'Karino, Chise', 'del Moral, Diego', 'Guerrero, Marcos', 'Tascu, Ramon', 'Chijiwa, Takeo', 'Garcia, Domingo', 'Levamme, Carlo', 'Joaquin']
animeVoices	['Kamiki, Ryunosuke', 'Morohoshi, Sumire', 'Niizuma, Seiko', 'Terasoma, Masaki', 'Chou, Katsumi', 'Hoshino, Mitsuaki', 'Tomizawa, Takeshi', 'Nakano, Yutaka', 'Ono, Daisuke', 'Namikawa, Daisuke']
animeStaff	[['Shishido, Jun', 'Director'], ['Shimizu, Youji', 'Sound Director'], ['Okudera, Satoko', 'Script'], ['Inai, Keiji', 'Theme Song Arrangement, Theme Song Composition']]
