animeTitle	Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e
animeType	Movie
animeNumEpisode	1
releaseDate	1995-02-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	385
animeRank	
animePopularity	9450
animeDescription	"Please Save My Earth Movie: From Alice to Rin-kun is a two-hour movie narrated by Alice, reminiscing on the events of the OVA as she is on her way to meet with Rin in a park. The ""present day"" scenes of Alice and Rin from the movie add scenes that were not present in the manga.

(Source: Wikipedia)"
animeRelated	['Boku no Chikyuu wo Mamotte']
animeCharacters	['Kobayashi, Rin', 'Shion', 'Mokuren', 'Sakaguchi, Alice', 'Nishikiori, Issei', 'Enju', 'Ogura, Jinpachi']
animeVoices	['Touma, Yumi', 'Hayami, Show', 'Shinohara, Emi', 'Shiratori, Yuri', 'Okiayu, Ryoutarou', 'Takamori, Yoshino', 'Morikawa, Toshiyuki']
animeStaff	[['Hiwatari, Saki', 'Original Creator']]
