animeTitle	b'Qin Shi Ming Yue: Ye Jin Tianming'
animeType	b'TV'
animeNumEpisode	18
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	301
animeRank	
animePopularity	
animeDescription	b'In the second season, Emperor Qin sends Quicksand to destroy Machinery City, the home of the Mohist School.\n\nAt the same time, Duanmu Rong sends the three kids, Tianming, Shao Yu, and Gao Yu, into the forbidden grounds of the Mohist School, a place where nobody could enter without permission.\n\n(Source: AniDB)'
animeRelated	[b'Qin Shi Ming Yue: Bai Bu Fei Jian', b'Qin Shi Ming Yue: Zhu Zi Bai Jia', b'Qin Shi Ming Yue: Kong Shan Niao Yu', b'Qin Shi Ming Yue Zhi: Luosheng Tangxia', b'Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi', b'Qin Shi Ming Yue: Tian Xing Jiu Ge']
animeCharacters	[b'Jing, Tianming', b'Ge, Nie', b'Wei, Zhuang', b'Xiang, ShaoYu', b'Duanmu, Rong', b'Xuenu', b'Gongshu, Chou', b'Baifeng ', b'Daozhi', b'Datiechui']
animeVoices	[]
animeStaff	[]
