animeTitle	Lesbian Byoutou
animeType	OVA
animeNumEpisode	2
releaseDate	2003-03-06 00:00:00
endDate	2003-06-20 00:00:00
animeNumMembers	2009
animeScore	5.42
animeUsers	712
animeRank	
animePopularity	9433
animeDescription	"Based on a live-action adult movie by DEEP'S.

Ryoka University Hospital is a prestigious medical center consisting solely of women. At night, the hospital begins a special type of treatment meant only for VIPs."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
