animeTitle	Akihabara Dennou-gumi: 2011-nen no Natsuyasumi
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	825
animeRank	
animePopularity	9200
animeDescription	"One year after Crane's visit to earth, Hibari dreams about him not being able to sleep well. So, she decides that the Cyberteam has to travel towards the Metatrone and find out if things are ok. Metatrone surveillance system has gone wild, and it's up to Hibari and her friends to fix things out and help Prince Crane.

(Source: ANN)"
animeRelated	['Akihabara Dennou-gumi']
animeCharacters	"['Otorii, Tsubame', 'Hanakoganei, Hibari', 'Higashijuujou, Tsugumi', 'Sakurajosui, Suzume', 'Sengakuji, Kamome', 'Gotokuji, Jun', ""Daikan'yama, Hatoko"", 'Bahnsteik, Crane', 'Kitaurawa, Uzura', 'Soshigaya, Miyama']"
animeVoices	['Hayashibara, Megumi', 'Shima, Ryouka', 'Asakawa, Yuu', 'Yoshizumi, Kozue', 'Nagasawa, Miki', 'Honda, Chieko', 'Kakazu, Yumi', 'Yamaguchi, Kappei', 'Tamagawa, Sakiko']
animeStaff	[['Sakurai, Hiroaki', 'Director, Storyboard'], ['Fujimoto, Yoshitaka', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Onji, Masayuki', 'Episode Director']]
