animeTitle	Zephyr
animeType	Special
animeNumEpisode	1
releaseDate	2014-10-11 00:00:00
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	224
animeRank	
animePopularity	9012
animeDescription	"The story revolves around the boy band named Zephyr, who lives in the slums of Tokyo in the near future. They stopped producing music after a war. One day Ned, the lead vocalist, receives a message on his phone from his girlfriend who he thought died in the war.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Ned', 'Meisa', 'Kal', 'Uran']
animeVoices	['Suzuki, Tatsuhisa', 'Kaji, Yuki', 'Kamiya, Hiroshi', 'Ono, Daisuke']
animeStaff	[['Maeda, Hirotaka', 'Character Design']]
