animeTitle	Yuyushiki
animeType	TV
animeNumEpisode	12
releaseDate	2013-04-10 00:00:00
endDate	2013-06-26 00:00:00
animeNumMembers	
animeScore	7.37
animeUsers	34718
animeRank	
animePopularity	1691
animeDescription	The story follows the school life of the three girls, Yuzuko, Yukari, and Yui, who join their high school's Data Processing Club. The odd friendship between the three make for wacky humor in even the most mundane of events.
animeRelated	['Yuyushiki', 'Yuyushiki: Nyanyashiki', 'Yuyushiki: Komarasetari, Komarasaretari']
animeCharacters	['Ichii, Yui', 'Nonohara, Yuzuko', 'Hinata, Yukari', 'Aikawa, Chiho', 'Hasegawa, Fumi', 'Matsumoto, Yoriko', 'Okano, Kei', 'Aikawa, Mother', 'Ichii, Mother']
animeVoices	['Tsuda, Minami', 'Ookubo, Rumi', 'Taneda, Risa', 'Kayano, Ai', 'Shimizu, Mana', 'Horie, Yui', 'Han, Megumi', 'Ueda, Kana', 'Kakazu, Yumi']
animeStaff	[['Ogura, Mitsutoshi', 'Producer'], ['Kaori', 'Director, Episode Director, Script, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Tachibana, Masaki', 'Episode Director, Storyboard, Key Animation, 2nd Key Animation']]
