animeTitle	b'Time Bokan Oudou Fukko'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	499
animeRank	
animePopularity	
animeDescription	"b""A laugh-out-loud hilarious adventure from the studio behind Gatchaman and Speed Racer!\n\nWho has what it takes to be the baddest of the bad? It's evil versus evil as teams of bad guys compete to be the meanest villains ever! Watch and laugh as the Dorombo Gang and their Kitchen Robot take on the worst of the worst in a wacky race to be the greatest villains in anime history! The only force that stands in their way are the superheroes of anime. Will the Gatchaman ninja arrive in time to save the day?\n\n(Source: AniDB) """
animeRelated	[b'Time Bokan']
animeCharacters	[b'Doronjo', b'Boyacky', b'Tonzura', b'Casshern', b'Washio, Ken', b'Jun', b'Kaminari, Ai', b'Takada, Gan', b'Minami, Johji', b'Dokurobe']
animeVoices	[b'\nOhara, Noriko\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nTatekabe, Kazuya\nJapanese\n', b'\nNishikawa, Ikuo\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nSugiyama, Kazuko\nJapanese\n', b'\nOkamoto, Mari\nJapanese\n', b'\nOota, Yoshiko\nJapanese\n', b'\nTakiguchi, Junpei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShigino, Akira\n\nDirector, Storyboard\n\n', b'\nYanami, Jouji\n\nTheme Song Performance\n\n', b'\nOhara, Noriko\n\nTheme Song Performance\n\n', b'\nTatekabe, Kazuya\n\nTheme Song Performance\n\n']
