animeTitle	MEMORiES MELODiES
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	1291
animeRank	
animePopularity	8455
animeDescription	"Official music video for IDOLiSH7's song MEMORiES MELODiES. It was also included on the ""MONSTER GENERATiON"" album. "
animeRelated	['MONSTER GENERATiON', 'RESTART POiNTER', 'Nanatsu-iro REALiZE', 'WiSH VOYAGE', 'IDOLiSH7']
animeCharacters	['Nanase, Riku', 'Ousaka, Sougo', 'Yotsuba, Tamaki', 'Izumi, Iori', 'Izumi, Mitsuki', 'Rokuya, Nagi', 'Nikaidou, Yamato', 'Takanashi, Tsumugi']
animeVoices	[]
animeStaff	[['Tanemura, Arina', 'Original Character Design'], ['Zhang, Yingying', 'Director of Photography']]
