animeTitle	Kuroshitsuji Recap
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	14275
animeRank	
animePopularity	2985
animeDescription	A recap episode of the first half of Kuroshituji told by Tanaka-san, aka episode 13.5. Including this recap episode, the series is 25 episodes long. 
animeRelated	['Kuroshitsuji']
animeCharacters	['Michaelis, Sebastian', 'Phantomhive, Ciel', 'Tanaka', 'Sutcliff, Grell', 'Finnian', 'Mey-Rin', 'Durless, Angelina', 'Baldroy', 'Vanel, Azzurro']
animeVoices	['Ono, Daisuke', 'Sakamoto, Maaya', 'Fukuyama, Jun']
animeStaff	[['SID', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement'], ['Toboso, Yana', 'Original Creator'], ['Iwasaki, Taku', 'Music'], ['Shiba, Minako', 'Character Design']]
