animeTitle	b'Rinne no Lagrange Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	1706
animeRank	
animePopularity	
animeDescription	b'Rinne no Lagrange short specials included in the Rinne no Lagrange Blu-rays and DVDs.'
animeRelated	[b'Rinne no Lagrange']
animeCharacters	[b'Kyouno, Madoka', b'Fin E Ld Si, Laffinty', b'Muginami', b'Danon Ci, Array', b'Rakus Lestrine Ha, Kirius', b'Tadokoro, Shouzou', b'Iwabuchi, Machiko', b'Igarashi, Shouko', b'Takakura, Erika', b'Kondou, Michi']
animeVoices	[b'\nIshihara, Kaori\nJapanese\n', b'\nSeto, Asami\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nYasumura, Makoto\nJapanese\n', b'\nAsakura, Azumi\nJapanese\n', b'\nNomizu, Iori\nJapanese\n', b'\nNanri, Yuuka\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorisawa, Haruyuki\n\nOriginal Character Design\n\n']
