animeTitle	b'Cheburashka'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	453
animeRank	
animePopularity	
animeDescription	"b""The stop-motion animated film based on Russia's Cheburashka character. """
animeRelated	[b'Cheburashka Arere?']
animeCharacters	[b'Cheburashka', b'Gena', b'Shapoklyak']
animeVoices	[b'\nOohashi, Nozomi\nJapanese\n', b'\nTsuchida, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Makoto\n\nDirector\n\n']
