animeTitle	Lupin III: Goodbye Partner
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	1786
animeRank	
animePopularity	7064
animeDescription	"The new TV special will be about the battles against Jigen, who aims for Lupin who searches for the treasure. Goemon, who is angry because he cannot forgive betrayal of Jigen, will fight along with Lupin against the strongest enemy in the history.

(Source: MAL News)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Katou', 'Alisa', 'Chopin, Frederic', 'Emilka', 'Madam President']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Yamadera, Kouichi', 'Ueda, Youji', 'Kotobuki, Minako', 'Uchida, Yuuya', 'Uchida, Risa', 'Shiota, Tomoko']
animeStaff	[['Kawagoe, Jun', 'Director'], ['Shimizu, Youji', 'Sound Director'], ['Mukai, Masahiro', 'Episode Director'], ['Hata, Takehiko', 'Script']]
