animeTitle	b'Neko Ramen'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	1530
animeRank	
animePopularity	
animeDescription	"b""Taishou is the entrepreneurial ramen chef of Neko Rahmen, the only restaurant in Tokyo run by a cat. All 13 episodes are produced by a different cutting-edge creator\xe2\x80\x94each creator's vision and unique style harmonizes into a fantastic anime series.\n\n(Source: Vuze)"""
animeRelated	[b'Neko Ramen', b'Neko Ramen: Ore no Shouyu Aji']
animeCharacters	[b'Taishou', b'Tanaka, Kouichi', b'Mii-chan']
animeVoices	[b'\nNakagawa, Rie\nJapanese\n', b'\nYamada, Atsushi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorii, Kenshirou\n\nDirector, Key Animation\n\n', b'\nKasugamori, Haruki\n\nDirector\n\n']
