animeTitle	Attack No.1
animeType	TV
animeNumEpisode	104
releaseDate	1969-12-07 00:00:00
endDate	1971-11-28 00:00:00
animeNumMembers	
animeScore	6.77
animeUsers	2745
animeRank	
animePopularity	5906
animeDescription	"Kozue is a middleschool girl and enthusiastic volleyball player. Her dream is to play in the Japanese national volleyball team. During the series she makes it from the school district league up to the Japanese volleyball finals, step by step till the international volleyball championship. But the faster and higher Kozue climbs the career ladder up, the more she gets confronted with the dark side of success: too high expectations, self-conceit and envy are progressing towards serious problems.

(Source: ANN)"
animeRelated	['Attack No.1', 'Attack No.1 (1970)', 'Attack No.1: Namida no Fushichou', 'Attack No.1: Namida no Kaiten Receive', 'Attack No.1: Namida no Sekai Senshuken']
animeCharacters	['Ayuhara, Kozue', 'Hayakawa, Midori', 'Makimura, Kyouko', 'Nakazawa', 'Shimizu, Haruko', 'Hongou, Shunsuke', 'Oonuma, Miyuki', 'Takeichi, Kayoko']
animeVoices	['Kobato, Kurumi', 'Masuyama, Eiko', 'Sawada, Kazuko', 'Mori, Hiroko', 'Nakamura, Shuusei', 'Sugaya, Masako']
animeStaff	[['Kurokawa, Fumio', 'Episode Director'], ['Takeuchi, Yoshio', 'Episode Director'], ['Tsuji, Masaki', 'Script'], ['Itou, Tsunehisa', 'Script']]
