animeTitle	"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken"
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	480
animeRank	
animePopularity	10319
animeDescription	"When local teacher Midori Yamabuki receives an emergency summons to her home planet it turns out to be a trap devised by galactic warlord Dr. Mashirito, and it's up to Dr. Senbei Norimaki and a group of students (including his robot daughter Arale) to venture into space to save her.

(Source: ANN)"
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	['Norimaki, Arale', 'Norimaki, Senbei', 'Norimaki, Gajira', 'Soramame, Tarou', 'Kimidori, Akane', 'Dr. Mashirito', 'Yamabuki, Midori', 'Soramame, Peasuke', 'Suppaman', 'Sarada, Kinoko']
animeVoices	['Koyama, Mami', 'Utsumi, Kenji', 'Furukawa, Toshio', 'Sugiyama, Kazuko', 'Yamada, Yasuo', 'Mukai, Mariko', 'Jinbo, Naomi', 'Genda, Tesshou']
animeStaff	[['Toriyama, Akira', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music'], ['Suda, Masami', 'Key Animation'], ['Miyazawa, Yasunori', 'In-Between Animation']]
