animeTitle	Chime
animeType	Music
animeNumEpisode	1
releaseDate	2011-06-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.91
animeUsers	2690
animeRank	
animePopularity	7339
animeDescription	"The 2nd music video from the same creators that did Downloader. The music video premiered on Nico Nico Douga on June 1st, 2011 the CD with the DVD bundled on June 24, 2011.

(Source: AniDB)"
animeRelated	['Downloader']
animeCharacters	['Hatsune, Miku']
animeVoices	['Hatsune, Miku']
animeStaff	[['Hatsune, Miku', 'Theme Song Performance'], ['Koike, Yuuki', 'Editing']]
