animeTitle	Aterui
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13783
animeDescription	A pseudo-historical movie that follows a modern day elementary schooler as he's tossed back into time to observe Aterui--a real leader of the Emishi who fought against the Imperial Yamato Court.
animeRelated	[]
animeCharacters	['Aterui', 'Okazaki, Hihito', 'Paraka']
animeVoices	['Ootomo, Kouhei', 'Kusaka, Chihiro', 'Kuwashima, Houko']
animeStaff	[['Dezaki, Satoshi', 'Director, Screenplay'], ['Hound Dog', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Minowa, Hitoshi', 'Theme Song Composition'], ['Suzuki, Yoshitake', 'Screenplay']]
