animeTitle	Kansen 3: Shuto Houkai
animeType	OVA
animeNumEpisode	2
releaseDate	2010-09-24 00:00:00
endDate	2010-12-24 00:00:00
animeNumMembers	5547
animeScore	6.41
animeUsers	1805
animeRank	
animePopularity	6718
animeDescription	"Four years have passed since the initial outbreak of the Unknown virus epidemic, and the terrifying plague which depopulated the Tohoku region of Japan has been reduced to a mere memory, thanks to drastic quarantine measures coupled with an effective vaccine.

But the Unknown virus is not dead yet and soon, very soon, an unescapable doom will fall upon Wataru Ayase and his family and friends, trapping them inside the ""Hell on Earth"" madhouse which originally was their home city, Tokyo...

(Source: VNDB)"
animeRelated	['Kansen 2: Inzai Toshi', 'Kansen 5: The Daybreak']
animeCharacters	['Homura, Margarita B', 'Kannagi, Yuuho ', 'Mizuki', 'Igarashi, Tomomi']
animeVoices	['Tamiyasu, Tomoe', 'Inokuchi, Yuka']
animeStaff	[['Yamamoto, Toshiyuki', 'Producer'], ['Yokoyama, Hiromi', 'Director, Episode Director'], ['Kinohara, Hikaru', 'Character Design'], ['Lee, Si-Min', 'Character Design, Animation Director']]
