animeTitle	b'Ganbare! Kickers Specials'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	298
animeRank	
animePopularity	
animeDescription	b'The 24-26th episodes aired as a special the following year by itself.'
animeRelated	[b'Ganbare! Kickers']
animeCharacters	[b'Daichi, Kakeru', b'Hongo, Masaru', b'Ishii, Kenta', b'Hara, Takeshi', b'Uesugi, Hikaru', b'Daichi, Ayumi', b'Uesugi, Akina']
animeVoices	[b'\nSuzuki, Tomiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Noriaki\n\nOriginal Creator\n\n']
