animeTitle	b'Vassalord.'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	14730
animeRank	
animePopularity	
animeDescription	"b""Charley, a cyborg vampire who does the Vatican's dirty work, is the thrall of the local vampire playboy Johnny Rayflo. As the two fight crime\xe2\x80\x94and each other\xe2\x80\x94hilarity, violence and sacrilege ensue! But can Charley resist his own desperate cravings for blood? Find out as the devilish duo go up against a childlike vampire princess, a mysterious branch of the Unitarian Church...and one another. \n\n(Source: Tokyopop) """
animeRelated	[b'Vassalord.']
animeCharacters	[b'Rayflo, Johnny', b'Chrishunds, Charles', b'Marie', b'Minea', b'Famille']
animeVoices	[b'\nFujiwara, Keiji\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nKobayashi, Misa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuroki, Rui\n\nProducer\n\n', b'\nNakazawa, Kazuto\n\nDirector, Key Animation, Chief Animation Director\n\n', b'\nChrono, Nanae\n\nOriginal Creator\n\n', b'\nHonda, Takeshi\n\nKey Animation\n\n']
