animeTitle	b'Turning Mecard W Season 2'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Turning Mecard W', b'Turning Mecard R', b'Turning Mecard W: Vandyne-ui Bimil']
animeCharacters	[b'Jason', b'Isobel', b'Dyne, Van', b'Dana', b'Evan', b'Phoenix', b'Brandon', b'Kevin', b'Ryan', b'Juliet']
animeVoices	[]
animeStaff	[]
