animeTitle	Show By Rock!! #
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	8929
animeRank	
animePopularity	3479
animeDescription	"Metropolis of music, MIDICITY. A kitty girl wearing gothic lolita clothing named Cyan is scouted by Maple Arisugawa, the president of a music agency. From there, she meets Chuchu (a pun off of the sound that rabbits make) the honor student rabbit girl, a net geek dog girl named Retoree (from ""Retriever""), and an alien sheep (?) girl named Moa. Together, they form the band named ""Plasmagica,"" and aim for the top of the world.

However, the path there is long and tough, and keeping in high spirits is important. By battling against other strange bands, Plasmagica slowly grows toward a top-grade band. In the end, they'll be a band that becomes the driving force of MIDICITY's music industry... Maybe?

Gonna be a music millionaire!

(Source: Sanrio)"
animeRelated	['Show By Rock!!', 'Show By Rock!! Short!!']
animeCharacters	['Hijirikawa, Cyan', 'Retoree', 'Moa', 'Chuchu', 'Crow', 'Shu☆Zo', 'Rom', 'Aion', 'Darudayuu', 'Ailane']
animeVoices	['Inagawa, Eri', 'Numakura, Manami', 'Sakura, Ayane', 'Uesaka, Sumire', 'Taniyama, Kishou', 'Miyano, Mamoru', 'Hosoya, Yoshimasa', 'Uchiyama, Kouki', 'Han, Megumi', 'Noguchi, Ruriko']
animeStaff	[['Ikezoe, Takahiro', 'Director, Episode Director, Storyboard, Key Animation'], ['Kakuchi, Takudai', 'Episode Director'], ['Ishihira, Shinji', 'Storyboard'], ['Inagawa, Eri', 'Theme Song Performance']]
