animeTitle	Wakakusa Monogatari
animeType	Special
animeNumEpisode	1
releaseDate	1980-05-03 00:00:00
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	340
animeRank	
animePopularity	11166
animeDescription	This is a TV special based on the novel, Little Women, by Louisa May Alcott.  It covers a year in the lives of four sisters, Meg, Jo, Beth, and Amy as their father is away fighting in the American Civil War.
animeRelated	['Wakakusa no Yon Shimai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
