animeTitle	Shuranosuke Zanmaken: Shikamamon no Otoko
animeType	OVA
animeNumEpisode	1
releaseDate	1990-12-28 00:00:00
endDate	
animeNumMembers	
animeScore	4.73
animeUsers	1972
animeRank	
animePopularity	7668
animeDescription	"Shurannosuke Sakaki is a masterless samurai with a razor-sharp katana and a cold-hearted personality. Whenever you see the mark of two crossed scythes on his back, death is sure to follow. Because of his exceptional swordsmanship, Shurannosuke is hired by the Nakura Clan to rescue Princess Mayu from the Seki Ninja. In this mission, he must use his full potential to survive the Seki Ninja's notorious henchmen. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Shuranosuke, Sakaki', 'Princess Mayu', 'Imura, Daizen', 'Oren', 'Narrator', 'Okuni', 'Mio', 'Gunbei, Tashiro', 'Utsuki, Kazuma', 'Marouji']
animeVoices	['Inoue, Kazuhiko', 'Sakuma, Rei', 'Kishino, Kazuhiko', 'Sasaki, Run', 'Kobayashi, Kiyoshi', 'Fujita, Toshiko', 'Mizutani, Yuuko', 'Sugawara, Masashi', 'Genda, Tesshou']
animeStaff	[['Takahashi, Naoko', 'Producer'], ['Dezaki, Osamu', 'Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Wolskel, John', 'Script']]
