animeTitle	b'Ajisai no Uta'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""This is a heartwarming story about a family during the Edo era. The main character, Kuritaro, lives with his father and a stray dog. Despite his mother's death, he continues to live a cheerful life.\n\n(Source: AnimeNfo)"""
animeRelated	[]
animeCharacters	[b'Narrator']
animeVoices	[b'\nFukushi, Hideki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSawada, Kan\n\nMusic\n\n', b'\nBaba, Toshiko\n\nChief Animation Director\n\n']
