animeTitle	Alice or Alice
animeType	TV
animeNumEpisode	12
releaseDate	2018-04-04 00:00:00
endDate	2018-06-20 00:00:00
animeNumMembers	
animeScore	5.34
animeUsers	11692
animeRank	
animePopularity	3162
animeDescription	"This story gives a look at the daily life of a pair of Alice twins and their older brother who has a sister complex. Them eating meals, getting into fights, playing with friends... Would you like to peek at the heart-full daily life of the cute Alices?

(Source: MAL News) "
animeRelated	['Alice or Alice: Siscon Niisan to Futago no Imouto', 'Alice or Alice Recap']
animeCharacters	['Rise', 'Airi', 'Ani', 'Ruha', 'Kisaki', 'Maco', 'Coco', 'Yamirie']
animeVoices	['Sakura, Ayane', 'Hidaka, Rina', 'Matsuoka, Yoshitsugu', 'Oonishi, Saori', 'Tokui, Sora', 'Takamori, Natsumi', 'Suwa, Ayaka', 'Suzuki, Aina']
animeStaff	[['Kobayashi, Kousuke', 'Director'], ['Abe, Nobuyuki', 'Sound Director'], ['Fujimoto, Saeka', 'Script, Series Composition'], ['petit milady', 'Theme Song Performance']]
