animeTitle	Wansa-kun OVA
animeType	OVA
animeNumEpisode	1
releaseDate	1974-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15717
animeDescription	"Compilation OVA of the Wansa-kun series.

Reminiscent of Disney's Lady and the Tramp, this work depicts the friendship between Wansa, who looks for his mother, and his friends. 

Wansa-kun was originally developed as the mascot character for the Sanwa Bank. The character was used for the TV series, and Tezuka Osamu was credited only as the writer of the original story.

(Source: AniDB)"
animeRelated	['Wansa-kun']
animeCharacters	['Wansa', 'Kota', 'Mr. Glasses', 'Lupan']
animeVoices	['Ohara, Noriko', 'Nozawa, Masako', 'Nagai, Ichiro', 'Yanami, Jouji']
animeStaff	[['Tezuka, Osamu', 'Original Creator']]
