animeTitle	b'Warau Salesman New'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	5681
animeRank	
animePopularity	
animeDescription	"b""Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals..."""
animeRelated	[b'Warau Salesman']
animeCharacters	[b'Moguro, Fukuzou', b'Shizuoka, Nozomi', b'Isobe, Nishiki', b'Kageno, Eiko', b'Office Lady', b'Kihara, Shisao', b'Naoki, Junichi', b'Kouga, Mami', b'Asa, Yumeko', b'Sakamaki']
animeVoices	[b'\nGenda, Tesshou\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nTanaka, Minami\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nShibuya, Azuki\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nSouma, Yukito\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOgura, Hirofumi\n\nDirector\n\n', b'\nItou, Fumio\n\nEpisode Director\n\n', b'\nNatsu, Midori\n\nScript\n\n', b'\nFukushima, Naohiro\n\nScript\n\n']
