animeTitle	b'Yobarete Tobidete Akubi-chan'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.84
animeUsers	210
animeRank	
animePopularity	
animeDescription	b'Koron Nemuta is a girl who yawns when embrassed. One day, she found a vase when she was lost. When she yawns, the genie Akubi will come out of it, but, when she yawns again, Akubi will come back into the vase. \n\n(Source: ANN)'
animeRelated	[b'Akubi Girl', b'Pandora to Akubi']
animeCharacters	[b'Nemuta, Koron', b'Akubi', b'Nemuta, Utsura']
animeVoices	[b'\nNogawa, Sakura\nJapanese\n', b'\nTanii, Asuka\nJapanese\n', b'\nYanagisawa, Mayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasagawa, Hiroshi\n\nDirector\n\n', b'\nOokubo, Tomihiko\n\nDirector\n\n', b'\nNakamura, Kenji\n\nEpisode Director\n\n', b'\nOgiwara, Rokou\n\nEpisode Director, Storyboard\n\n']
