animeTitle	Kimi no Iru Machi OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2014-01-17 00:00:00
endDate	2014-03-17 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	8146
animeRank	
animePopularity	4239
animeDescription	"The limited-edition of the 26th manga volume will include an anime adaptation of the popular special flashback chapter ""Uchi ga Kita Machi"" (The Town Where I Arrived). The story reveals how Haruto, Akari, and Takashi first met during childhood, and serves as a prologue to the TV anime.

The 27th limited-edition manga volume will include a special anime episode produced in full cooperation with Seo Kouji. This OVA will be the animation of the end of the manga. (Volume 27 is the final volume of the long-running series.)"
animeRelated	['Kimi no Iru Machi']
animeCharacters	['Eba, Yuzuki', 'Kirishima, Haruto', 'Eba, Rin', 'Kaga, Akari', 'Yura, Takashi', 'Akitsuki, Fuuka', 'Asahina, Suzuka', 'Kanzaki, Nanami', 'Kitajima', 'Kirishima, Ms']
animeVoices	['Nakajima, Megumi', 'Hosoya, Yoshimasa', 'Fujita, Saki', 'Kouno, Nana', 'Yahagi, Sayuri', 'Shimizu, Ayaka', 'Takao, Yuki']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Nakajima, Megumi', 'Theme Song Performance'], ['MimimemeMIMI', 'Theme Song Performance'], ['Seo, Kouji', 'Original Creator']]
