animeTitle	Kuroi Ame ni Utarete
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.76
animeUsers	199
animeRank	
animePopularity	12114
animeDescription	Anime adaptation of the manga Kuroi Ame ni Utarete by Nakazawa Keiji.
animeRelated	['Kuroi Ame ni Utarete']
animeCharacters	['Junji', 'Eiko', 'Shouzou', 'Kondou, Yuri', 'Katsuta', 'Yoshio']
animeVoices	['Saijo, Hideki', 'Han, Keiko', 'Masamune, Issei', 'Nakanishi, Taeko', 'Shibata, Hidekatsu', 'Tanaka, Hideyuki']
animeStaff	[['Shirato, Takeshi', 'Director, Script'], ['Nakazawa, Keiji', 'Script, Planning, Original Creator'], ['Hashimoto, Takashi', 'In-Between Animation'], ['Yabuki, Tsutomu', 'Key Animation']]
