animeTitle	Salad Land
animeType	ONA
animeNumEpisode	1
releaseDate	2012-02-09 00:00:00
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	131
animeRank	
animePopularity	14250
animeDescription	Animated short produced for SSK Foods Co., Ltd. featuring its brand mascots. It was posted directly on the website of SSK Foods.
animeRelated	[]
animeCharacters	['Tamacoron', 'Vegimaro', 'Sala', 'Hatena']
animeVoices	['Fuchizawa, Yuki', 'Tadokoro, Azusa', 'Arimura, Kon']
animeStaff	[]
