animeTitle	Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami
animeType	ONA
animeNumEpisode	5
releaseDate	2013-11-18 00:00:00
endDate	2014-07-02 00:00:00
animeNumMembers	
animeScore	6.55
animeUsers	15970
animeRank	
animePopularity	3089
animeDescription	"Each of the episodes will have the female main characters cast as Chibi Angels who hold a trial for a different character of the series. Akihito Kanbara will be the defendant for the first episode.

(Source: MAL News)"
animeRelated	['Kyoukai no Kanata']
animeCharacters	['Nase, Mitsuki', 'Shindou, Ai', 'Inami, Sakura', 'Kuriyama, Mirai', 'Kanbara, Akihito', 'Nase, Hiroomi', 'Nase, Izumi', 'Ninomiya, Shizuku', 'Kanbara, Yayoi']
animeVoices	['Chihara, Minori', 'Yamaoka, Yuri', 'Toyota, Moe', 'Taneda, Risa', 'KENN', 'Suzuki, Tatsuhisa', 'Kawasumi, Ayako', 'Watanabe, Akeno', 'Konno, Hiromi']
animeStaff	[['Utsumi, Hiroko', 'Storyboard'], ['Ishidate, Taichi', 'Storyboard'], ['Yamaoka, Yuri', 'Theme Song Performance, Inserted Song Performance'], ['Taneda, Risa', 'Inserted Song Performance']]
