animeTitle	Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season
animeType	ONA
animeNumEpisode	25
releaseDate	2018-10-28 00:00:00
endDate	2019-10-13 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12504
animeDescription	Second season of Seizei Ganbare! Mahou Shoujo Kurumi.
animeRelated	['Seizei Ganbare! Mahou Shoujo Kurumi', 'Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season']
animeCharacters	['Azuchimomoyama, Kurumi', 'Takahashi, Isamu', 'Suzuki, Kiyoshi', 'Satsukimidori, Wakaba', 'Kouenji, Tsubame', 'Satou, Shigeru', 'Sangenshoku, Mizuki', 'Unshuuehime, Mikan', 'Debirun', 'Ankoku Daimyoujin']
animeVoices	['Kubo, Yurika', 'Hatano, Wataru', 'Hayashi, Yuu', 'Yamamoto, Nozomi', 'Lynn', 'Terashima, Takuma', 'Kanemoto, Hisako', 'Aizawa, Mai', 'Matsumoto, Keisuke']
animeStaff	[['Matsumoto, Keisuke', 'Director, Script, Original Creator'], ['AstroNoteS', 'Theme Song Composition, Theme Song Arrangement'], ['Uekusa, Wataru', 'Character Design']]
