animeTitle	Zhongguo Jingqi Xiansheng
animeType	ONA
animeNumEpisode	63
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	294
animeRank	
animePopularity	9073
animeDescription	"A lost form of magic is revived from the Eastern Han dynasty, meanwhile, dangerous man eating monsters lurk the streets. What will stop these beasts from their mindless terror? 

(Source: Happy Potato Translations)"
animeRelated	[]
animeCharacters	['Wang, Xiaoer', 'Li, Xue']
animeVoices	[]
animeStaff	[['Li, Haoling', 'Director']]
