animeTitle	Monsuto Anime: Katsubou no Hate no Risoukyou
animeType	ONA
animeNumEpisode	1
releaseDate	2017-03-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	638
animeRank	
animePopularity	9344
animeDescription	"Episode 0 of Monsuto Anime. It is the first item in the franchise to be completely animated in CG.

The big threat is passed, but the gang's still got little threats to handle. The monsters are becoming a part of daily life, but there's one big thing missing: Oragon. One day, a powerful monster appears in the middle of town. It's got Oragon inside!

(Source: Crunchyroll)"
animeRelated	['Monster Strike: Zoku Saishuu-banashi - Pandora no Hako', 'Monster Strike Anime']
animeCharacters	['Homura, Ren', 'Kagetsuki, Akira', 'Wakaba, Minami', 'Mizusawa, Aoi', 'Oragon', 'Sakamoto, Ryouma', 'Gabriel', 'Yamato, Takeru', 'Girl', 'Dead Rabbits Ltd., Torin']
animeVoices	['Kobayashi, Yuusuke', 'Kawanishi, Kengo', 'Kimura, Juri', 'Lynn', 'Fukushima, Jun', 'Murata, Taishi', 'Hidaka, Rina', 'Furukawa, Makoto', 'Hondo, Kaede', 'Hashimoto, Chinami']
animeStaff	[]
