animeTitle	Comic Party Specials
animeType	Special
animeNumEpisode	4
releaseDate	2003-01-13 00:00:00
endDate	
animeNumMembers	3481
animeScore	6.4
animeUsers	1426
animeRank	6662
animePopularity	7995
animeDescription	"The DVD Specials.

Kazuki, together with his friends, goes to a Comic Party that's going to be held in a hot spring. There, they make an incredible discovery that is going to reveal something amazing about comic conventions."
animeRelated	['Comic Party']
animeCharacters	['Sendou, Kazuki', 'Takase, Mizuki', 'Sakurai, Asahi', 'Kuhonbutsu, Taishi', 'Inagawa, Yuu']
animeVoices	['Kikuchi, Masami', 'Sayama, Riko', 'Koorogi, Satomi', 'Toochika, Kouichi', 'Morota, Kaoru']
animeStaff	[['Aquaplus', 'Original Creator']]
