animeTitle	Shounen Kenya
animeType	Movie
animeNumEpisode	1
releaseDate	1984-03-10 00:00:00
endDate	
animeNumMembers	2078
animeScore	5.18
animeUsers	591
animeRank	11166
animePopularity	9332
animeDescription	"It is the year 1941. 11-year-old Murakami Wataru lives with his family, Japanese textile traders operating in British Kenya, when war breaks out between Japan and the Allies. Fleeing into the bush, young Wataru falls headlong into a series of fantastic adventures.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
